time,temp(C),Temp (K)
,,
1.13E-02,2.55E+02,528.5325021
3.35E-01,2.39E+02,512.2652072
8.84E-01,2.26E+02,498.8525776
2.10E+00,2.11E+02,484.11391
3.71E+00,1.98E+02,470.9093947
5.55E+00,1.87E+02,459.6804306
7.00E+00,1.79E+02,451.7524418
8.72E+00,1.72E+02,445.3598332
9.57E+00,1.78E+02,451.0648665
1.06E+01,1.82E+02,455.4493869
1.21E+01,1.81E+02,454.3339187
1.38E+01,1.77E+02,450.5786526
1.58E+01,1.72E+02,444.8423101
1.73E+01,1.67E+02,439.9906068
1.83E+01,1.66E+02,439.3202209
1.94E+01,1.62E+02,435.5717077
2.12E+01,1.60E+02,433.5740559
2.31E+01,1.60E+02,432.674069
2.51E+01,1.56E+02,428.6965686
2.64E+01,1.55E+02,427.8027208
2.74E+01,1.55E+02,427.7916704
2.85E+01,1.52E+02,425.1426638
3.03E+01,1.50E+02,423.1443981
3.17E+01,1.48E+02,420.931879
3.27E+01,1.48E+02,420.9208287
3.38E+01,1.45E+02,418.4909867
3.57E+01,1.43E+02,416.4921071
3.66E+01,1.44E+02,416.7014492
3.72E+01,1.42E+02,415.3766389
3.85E+01,1.41E+02,414.2636264
4.01E+01,1.39E+02,412.2678163
4.10E+01,1.38E+02,410.7189302
4.18E+01,1.38E+02,410.7103355
4.35E+01,1.35E+02,408.2743544
4.46E+01,1.34E+02,406.944019
4.55E+01,1.35E+02,407.8126967
4.72E+01,1.33E+02,406.4749944
4.90E+01,1.31E+02,404.0383995
5.08E+01,1.30E+02,403.1390264
5.18E+01,1.28E+02,401.5895264
5.38E+01,1.27E+02,400.0295899
5.50E+01,1.28E+02,401.1149766
5.61E+01,1.26E+02,399.5642488
5.75E+01,1.25E+02,398.0104514
5.95E+01,1.24E+02,397.1098505
6.03E+01,1.24E+02,397.1006419
