time,temp(C),Temp (K),,time,temp(C),Temp (K),,time,temp(C),Temp (K),,time,temp(C),Temp (K)
,,,,,,,,,,,,,,
0.0113,255,528.5325021,,-1.02E-01,2.53E+02,526.15,,0.00E+00,2.55E+02,528.15,,0.00E+00,2.55E+02,528.15
0.335,239,512.2652072,,5.61E-01,2.42E+02,515.15,,4.00E-01,2.43E+02,516.15,,8.00E-01,2.35E+02,508.15
0.884,226,498.8525776,,1.55E+00,2.25E+02,498.15,,8.00E-01,2.37E+02,510.15,,1.60E+00,2.22E+02,495.15
2.1,211,484.11391,,2.54E+00,2.16E+02,489.15,,1.20E+00,2.31E+02,504.15,,2.40E+00,2.14E+02,487.15
3.71,198,470.9093947,,3.20E+00,2.09E+02,482.15,,1.60E+00,2.26E+02,499.15,,3.20E+00,2.07E+02,480.15
5.55,187,459.6804306,,4.89E+00,1.97E+02,470.15,,2.00E+00,2.22E+02,495.15,,4.00E+00,2.01E+02,474.15
7,179,451.7524418,,6.52E+00,1.86E+02,459.15,,2.40E+00,2.18E+02,491.15,,4.80E+00,1.95E+02,468.15
8.72,172,445.3598332,,8.76E+00,1.75E+02,448.15,,2.80E+00,2.14E+02,487.15,,5.60E+00,1.90E+02,463.15
9.57,178,451.0648665,,9.81E+00,1.79E+02,452.15,,3.20E+00,2.11E+02,484.15,,6.40E+00,1.86E+02,459.15
10.6,182,455.4493869,,1.07E+01,1.82E+02,455.15,,3.60E+00,2.07E+02,480.15,,7.20E+00,1.81E+02,454.15
12.1,181,454.3339187,,1.20E+01,1.82E+02,455.15,,4.00E+00,2.04E+02,477.15,,8.00E+00,1.77E+02,450.15
13.8,177,450.5786526,,1.38E+01,1.78E+02,451.15,,4.40E+00,2.01E+02,474.15,,8.80E+00,1.74E+02,447.15
15.8,172,444.8423101,,1.52E+01,1.74E+02,447.15,,4.80E+00,1.98E+02,471.15,,9.60E+00,1.76E+02,449.15
17.3,167,439.9906068,,1.73E+01,1.69E+02,442.15,,5.20E+00,1.96E+02,469.15,,1.04E+01,1.77E+02,450.15
18.3,166,439.3202209,,1.97E+01,1.63E+02,436.15,,5.60E+00,1.93E+02,466.15,,1.12E+01,1.79E+02,452.15
19.4,162,435.5717077,,2.28E+01,1.59E+02,432.15,,6.00E+00,1.91E+02,464.15,,1.20E+01,1.80E+02,453.15
21.2,160,433.5740559,,2.66E+01,1.54E+02,427.15,,6.40E+00,1.88E+02,461.15,,1.28E+01,1.80E+02,453.15
23.1,160,432.674069,,2.99E+01,1.49E+02,422.15,,6.80E+00,1.86E+02,459.15,,1.36E+01,1.78E+02,451.15
25.1,156,428.6965686,,3.32E+01,1.44E+02,417.15,,7.20E+00,1.84E+02,457.15,,1.44E+01,1.77E+02,450.15
26.4,155,427.8027208,,3.68E+01,1.41E+02,414.15,,7.60E+00,1.82E+02,455.15,,1.52E+01,1.75E+02,448.15
27.4,155,427.7916704,,4.01E+01,1.36E+02,409.15,,8.00E+00,1.78E+02,451.15,,1.60E+01,1.73E+02,446.15
28.5,152,425.1426638,,4.49E+01,1.32E+02,405.15,,8.80E+00,1.76E+02,449.15,,1.68E+01,1.71E+02,444.15
