time,temp(C),Temp (K),,time,temp(C),Temp (K),,time,temp(C),Temp (K),,time,temp(C),Temp (K)
,,,,,,,,,,,,,,
0.168067227,329.163332,602.313332,,0,350.5944044,623.7444044,,0,356,629.15,,0,356,629.15
0.056022409,312.795118,585.945118,,0.168067227,334.5204749,607.6704749,,0.399999999999999,333.827,606.977,,0.800000000000004,328.812,601.962
1.06442577,296.7161865,569.8661865,,1.400560224,313.9755902,587.1255902,,0.799999999999997,325.648,598.798,,1.6,311.17,584.32
2.408963585,283.3133253,556.4633253,,2.521008403,293.4315393,566.5815393,,1.2,317.457,590.607,,2.4,298.929,572.079
6.554621849,266.0205749,539.1705749,,5.098039216,271.0909364,544.2409364,,1.6,311.076,584.226,,3.2,289.259,562.409
9.019607843,254.0974723,527.2474723,,7.114845938,258.5759304,531.7259304,,2,305.657,578.807,,4.00000000000001,281.17,554.32
11.2605042,258.2474657,531.3974657,,9.579831933,247.2480659,520.3980659,,2.4,300.478,573.628,,4.8,274.022,547.172
14.28571429,259.1178138,532.2678138,,9.915966387,258.2574697,531.4074697,,2.8,295.762,568.912,,5.6,267.671,540.821
17.87114846,251.0554222,524.2054222,,10.81232493,264.5008003,537.6508003,,3.2,291.368,564.518,,6.4,261.948,535.098
21.45658263,245.0763639,518.2263639,,12.26890756,267.4661531,540.6161531,,3.6,287.261,560.411,,7.2,256.763,529.913
24.70588235,243.5640923,516.7140923,,14.28571429,262.0940043,535.2440043,,4,283.401,556.551,,8.00000000000001,252.16,525.31
28.7394958,238.4745565,511.6245565,,16.41456583,255.2329265,528.3829265,,4.4,279.759,552.909,,8.8,249.309,522.459
35.0140056,232.1778711,505.3278711,,18.767507,246.5844671,519.7344671,,4.8,276.313,549.463,,9.6,259.029,532.179
39.49579832,229.168334,502.318334,,21.12044818,242.4002935,515.5502935,,5.2,273.044,546.194,,10.4,262.259,535.409
43.64145658,224.3755836,497.5255836,,24.3697479,242.9713552,516.1213552,,5.6,269.935,543.085,,11.2,270.144,543.294
48.34733894,220.4715219,493.6215219,,28.96358543,235.4966987,508.6466987,,6,266.972,540.122,,12,272.969,546.119
52.4929972,216.8692477,490.0192477,,32.66106443,230.4096639,503.5596639,,6.4,264.143,537.293,,12.8,272.745,545.895
58.31932773,211.4687542,484.6187542,,36.58263305,225.3209617,498.4709617,,6.8,261.431,534.581,,13.6,270.521,543.671
64.59383754,206.9577831,480.1077831,,42.24089636,219.9217187,493.0717187,,7.2,258.85,532,,14.4,267.397,540.547
70.19607843,204.8327664,477.9827664,,45.88235294,214.4382753,487.5882753,,7.6,256.348,529.498,,15.2,263.918,537.068
76.02240896,200.3251301,473.4751301,,48.77684407,209.2084056,482.3584056,,7.99999999999999,253.906,527.056,,16,260.322,533.472
81.62464986,196.4143991,469.5643991,,51.76470588,206.209984,479.359984,,8.4,251.828,524.978,,16.8,256.733,529.883
86.44257703,195.1880752,468.3380752,,55.59290383,200.4771353,473.6271353,,8.8,248.746,521.896,,17.6,253.211,526.361
91.59663866,191.875917,465.025917,,60.26143791,195.9781135,469.1281135,,9.2,249.758,522.908,,18.4,249.79,522.94
97.64705882,189.7475657,462.8975657,,63.99626517,191.4860389,464.6360389,,10.4,249.426,522.576,,19.2,246.495,519.645
104.8179272,185.2299253,458.3799253,,68.38468721,187.2371171,460.3871171,,10.8,261.818,534.968,,20,243.465,516.615
109.4117647,184.0052688,457.1552688,,72.77310924,183.7322429,456.8822429,,11.2,267.098,540.248,,20.8,242.252,515.402
114.4537815,180.9915633,454.1415633,,77.44164332,179.2332211,452.3832211,,11.6,270.028,543.178,,21.6,241.832,514.982
120.280112,179.7577364,452.9077364,,82.20354809,175.4775521,448.6275521,,12,271.219,544.369,,22.4,242.596,515.746
,,,,85.93837535,171.7295251,444.8795251,,12.4,271.414,544.564,,23.2,243.639,516.789
,,,,90.70028011,168.7179038,441.8679038,,12.8,271.01,544.16,,24,244.429,517.579
,,,,94.71521942,166.4558879,439.6058879,,13.2,270.152,543.302,,24.8,244.664,517.814
,,,,99.57049486,163.6915877,436.8415877,,13.6,268.992,542.142,,25.6,244.323,517.473
,,,,103.8655462,161.1794718,434.3294718,,14,267.621,540.771,,26.4,243.497,516.647
,,,,108.0672269,159.9081299,433.0581299,,14.4,266.102,539.252,,27.2,242.301,515.451
,,,,112.2689076,157.8927404,431.0427404,,14.8,264.484,537.634,,28,240.836,513.986
,,,,116.0037348,156.3768563,429.5268563,,15.2,262.799,535.949,,28.8,239.181,512.331
,,,,120.5788982,154.3586879,427.5086879,,15.6,261.071,534.221,,29.6,237.398,510.548
,,,,,,,,16,259.32,532.47,,30.4,235.53,508.68
,,,,,,,,16.4,257.559,530.709,,31.2,233.626,506.776
,,,,,,,,16.8,255.799,528.949,,32,231.926,505.076
,,,,,,,,17.2,254.048,527.198,,32.8,230.524,503.674
,,,,,,,,17.6,252.309,525.459,,33.6,229.523,502.673
,,,,,,,,18,250.593,523.743,,34.4,228.882,502.032
,,,,,,,,18.4,248.901,522.051,,35.2,228.482,501.632
,,,,,,,,18.8,247.205,520.355,,36,228.178,501.328
,,,,,,,,19.2,245.646,518.796,,36.8,227.854,501.004
,,,,,,,,19.6,243.735,516.885,,37.6,227.438,500.588
,,,,,,,,20,242.74,515.89,,38.4,226.897,500.047
,,,,,,,,20.8,241.89,515.04,,39.2,226.223,499.373
,,,,,,,,21.6,242.67,515.82,,40,225.423,498.573
,,,,,,,,23.2,243.65,516.8,,40.8,224.511,497.661
,,,,,,,,23.6,244.254,517.404,,41.6,223.502,496.652
,,,,,,,,24,244.589,517.739,,42.4,222.415,495.565
,,,,,,,,24.4,244.692,517.842,,43.2,221.293,494.443
,,,,,,,,24.8,244.595,517.745,,44,220.187,493.337
,,,,,,,,25.2,244.33,517.48,,44.8,219.151,492.301
,,,,,,,,25.6,243.922,517.072,,45.6,218.225,491.375
,,,,,,,,26,243.394,516.544,,46.4,217.422,490.572
,,,,,,,,26.4,242.766,515.916,,47.2,216.729,489.879
,,,,,,,,26.8,242.055,515.205,,48,216.118,489.268
,,,,,,,,27.2,241.275,514.425,,48.8,215.556,488.706
,,,,,,,,27.6,240.438,513.588,,49.6,215.011,488.161
