"N","Time","avg(X)","avg(Y)","avg(Z)","avg(k)","avg(rank)","avg(rank_input_1)","avg(vtkValidPointMask)","max(X)","max(Y)","max(Z)","max(k)","max(rank)","max(rank_input_1)","max(vtkValidPointMask)","med(X)","med(Y)","med(Z)","med(k)","med(rank)","med(rank_input_1)","med(vtkValidPointMask)","min(X)","min(Y)","min(Z)","min(k)","min(rank)","min(rank_input_1)","min(vtkValidPointMask)","q1(X)","q1(Y)","q1(Z)","q1(k)","q1(rank)","q1(rank_input_1)","q1(vtkValidPointMask)","q3(X)","q3(Y)","q3(Z)","q3(k)","q3(rank)","q3(rank_input_1)","q3(vtkValidPointMask)","std(X)","std(Y)","std(Z)","std(k)","std(rank)","std(rank_input_1)","std(vtkValidPointMask)","vtkValidPointMask"
1,4,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,8,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,12,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,16,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,20,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,24,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,28,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,32,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,36,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
1,40,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0.03,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,1
